File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
o3-03_gr_e05,D,3,0.0037132529296296287,0.0045519020421874975,0.0034831870902399986,0.007454080476680383,0.24464916190000002,1,0.0022800071937499992,0.003606621360493825,0.0038584856328922486,0.009336643480725623,0.2409551000999999,1,0.0019652714509999984,0.003041556946999997,0.0066134943160000015,0.016725840679166663,1,1,0.000530684846153845,0.0017675367622448962,0.004259043305381944,0.010187936437249998,0.12253623882499996,1,0.0022213637654320975,0.0024535081153846143,0.0043769464328922494,0.0101705079905,0.1228931418,1,0.001554940291666666,0.0013231297052126193,0.0025198037214852597,0.006385983355555554,1,1
o3-03_gr_e06,D,3,0.004619195151999996,0.0050234163571428545,0.007588186834602076,0.013325474347058816,1,1,0.001666162017361109,0.002395059941326529,0.005112171052083333,0.013221151542214534,1,1,0.0016602769604938225,0.004139913009374998,0.0059423590659863955,0.025782573571604926,1,1,0.0005284174076923056,0.0027012522679999984,0.00489995094145408,0.015503672120444442,1,1,0.001413700085416665,0.0027347774422222205,0.004779385907372175,0.014237388909688582,1,1,0.0011573717946502045,0.0014624798151384078,0.0025815771757201644,0.007431294126953123,1,1
o3_gr_e01,B,1,1,1,1,1,1,1,0.010282615537499998,0.009459149696938774,0.011589764520833332,0.01690838031568047,0.010941100093125001,0.009881668653099173,0.002453491839375,0.002119722769852942,0.0036474925236294887,0.0045159155778828,0.0038630066148596944,0.0032827895585829073,0.002614647868945313,0.002108608395838288,0.003040426596811225,0.004862923960537189,0.003884772084566327,0.0030058042443750006,0.0063843708515625005,0.006781230646296295,0.008166705623437501,0.011789143212499999,0.0077050274452806124,0.008406039224556213,1,1,1,1,1,0.2717215281000001
o3_gr_e02,B,1,1,1,1,1,1,1,0.012814884815051025,0.010006208066326537,0.013689911223632818,0.011357609542105265,0.010149454732653064,0.011922950000000003,0.0020788263000000025,0.002333651370000002,0.0041218344234375025,0.004544310255468751,0.003923148644946494,0.0035157023205882373,0.002231292080268598,0.0023858565765000023,0.003662948177343752,0.004642696431360002,0.0046719215187869855,0.003210505808744797,0.00943598187949219,0.00700456723501784,0.011641536179166669,0.010947556387125005,0.008645066903476335,0.008676218442592596,1,1,1,1,1,1
o3_gr_e03,B,1,1,1,1,1,1,1,0.00639162683671875,0.01066549036764706,0.010933394237500001,0.016765365150000006,0.010194219538875005,0.010048493155102044,0.001787695817751481,0.0023559399255000013,0.0033209057479591853,0.004226415103125002,0.004244585594444446,0.0041952059655000025,0.002952959861250003,0.002316369506361476,0.00305497114814815,0.005328985926375003,0.0038623918759615413,0.0027413038878750006,0.011541618954000006,0.0081951256125,0.008946930472400756,0.011609131179639891,0.008067078850000001,0.008556496860240001,1,1,1,1,1,0.06948912594375001
o3_gr_e04,C,2,0.009174711299999997,0.01914447916666667,1,1,1,1,0.00424712296531191,0.004125609229166667,0.006871988740909093,0.013560986715805787,0.051807522525000003,1,0.0020840576568750004,0.0021711495745541025,0.0033277227270083103,0.005316643216115703,0.006268823647933883,0.009053652224007563,0.004412289990000001,0.0032225111357142852,0.0032350966054209185,0.004500553178250001,0.00406997385696,0.003806457339705882,0.08575319711250004,0.013343741491992186,0.009552565720408166,0.009165864361224492,0.0063693811515,0.003850106233363513,1,1,1,1,1,0.033810353568367355
o3_gr_e05,B,1,0.022715109300000005,0.040443463940625,0.08701415043749999,1,1,1,0.004262943844990549,0.004810733060156251,0.006529858013265308,0.008264866588504154,0.008555169209625001,0.008960718659625002,0.0016224853474480156,0.002225848569754254,0.0032831915554820414,0.0047773618927977836,0.004747694239152891,0.005010059519600592,0.002643825500826447,0.0027057647766122453,0.004360738555102041,0.004331804162695313,0.003878392316326531,0.0029164809935941834,0.014953993356,0.011279203037755103,0.011388572813119838,0.03801915594183674,0.02144965797520661,0.015205772884500002,1,1,1,1,1,1
o3_gr_e06,B,1,1,1,1,1,1,1,0.0050573781843749974,0.006811095405540164,0.0056003278898437495,0.009541592039999998,0.0068345750510204065,0.005060332431818181,0.0017847854414062485,0.0023183181562499984,0.003152713858884296,0.005963164188520403,0.0033183374522399983,0.0023742218149875394,0.003297095012795857,0.002524457821621621,0.002852915711029411,0.004404483770360109,0.003938251120408163,0.002340718799896121,0.014425979452941174,0.012012928549874999,0.011987100390374997,0.027247237899999992,0.015231347435742186,0.0120409320122449,1,1,1,1,1,1
o3_gr_e07,C,2,1,1,1,1,1,1,0.002755838237625,0.0050229567225,0.007453390496005915,0.007885608593222355,0.008523472406815818,0.022706733346874997,0.0010925777458333332,0.0019600780550400004,0.0028059591274673017,0.0036507128107438024,0.005993214472222221,0.00569973803253061,0.002742009370875001,0.0025480725187499993,0.0034082357518491124,0.0031077961630202136,0.0042335131078125015,0.0030827492753333335,0.013122767495663261,0.009300225370408163,0.016127337903550292,0.009436944074690083,0.007473718764053255,0.0038523948741493387,1,1,1,1,1,0.0287510435296875
o3_gr_e08,B,1,1,1,1,1,1,1,0.004807722609985208,0.006255864526320001,0.009695081795833333,0.009063942134504137,0.00854355944952,0.009369328057031251,0.0017886981375000014,0.0019413049406347559,0.00328755582962963,0.004393332325781251,0.005148773123760002,0.004218668628125,0.002380949051512289,0.002656419180882354,0.0033087869073529417,0.005303805367680001,0.004157940099895942,0.0031943660025689565,0.00797494283208,0.011223083415375,0.015010519050000002,0.020501087658284026,0.01053839826796875,0.008220220698000002,1,1,1,1,1,1
o3_gr_e09,C,2,1,0.16661688525000004,0.025088207034375004,0.027895486150000003,0.02939546297700001,1,0.0026648392500000016,0.0029650665635416675,0.00612862764963018,0.007009141025386446,0.008976885913584186,0.025446386060330582,0.01628969771250001,0.001066890199680002,0.0022973764007812513,0.0042355973535000025,0.006412503708085617,0.0079702830855,0.012545982150000017,0.0019442620813912026,0.0035078702299586807,0.004014703243440003,0.00635303815661157,0.004959813190561225,0.012553256484,0.007337873561760001,0.009271912407277884,0.007021100234547349,0.006841803753590011,0.005367519420153061,1,1,1,1,0.055492694243999996,0.021228313135207108
o3_gr_e10,B,1,1,1,1,1,1,0.06058499355000004,0.017749594030500013,0.01784683937700001,0.014889446812500005,0.009533499040720223,0.010821710141015633,0.004290628448392991,0.0024628681484467475,0.00343934356890496,0.0037523534947200023,0.0034920324592592608,0.005039379499861498,0.0027805440665680486,0.0023720558471893513,0.003094348353120002,0.0033064338980975053,0.0041697759940828435,0.005809040553739615,0.002703978532504058,0.007624586736720004,0.009628356321074383,0.008713827702720002,0.008866767909541422,0.010753173897210748,0.0068622107396484385,1,1,1,1,1,0.27543263490000014
o3_gr_e11,B,1,1,1,1,1,0.04879560723749999,0.1911057057,0.01133006892352941,0.00913956617789256,0.009828911422124999,0.01027073445,0.006954621892968747,0.006336500177519996,0.0025565252651627204,0.002502817933766908,0.003511933698148146,0.004703695676999997,0.0036291205137599985,0.002514003999762045,0.0022141005259259244,0.002397601876499998,0.003604473670370368,0.004983918504749998,0.00384220252037037,0.003117493893749999,0.007054991310960001,0.008361443738279769,0.008360797080468746,0.012767871127148432,0.007728825566050294,0.007397692136094672,1,1,1,1,0.12267206459999994,0.12206008563749998
o3_gr_e12,B,1,1,1,1,1,1,0.17811634995000003,0.022247636765625002,0.011756135358000006,0.011397080984765627,0.011645660772070314,0.007796240371487607,0.003323006921603307,0.0028617004084487553,0.002645727494233058,0.003328333255917162,0.004911195025000002,0.0034358755722222237,0.0020948972505619844,0.003398014157142859,0.002521072345184306,0.002817316158837891,0.006025547038235295,0.003906749506952664,0.002301192386000001,0.009639522858375002,0.008927401346590912,0.0085379754024,0.010215142108163265,0.008062571880720001,0.007907605462500003,1,1,1,1,0.06450884398125002,0.06320829616875
o4_gr_e01,A,0,0.004249063892975203,0.004437798768749997,0.0059582874914999966,0.00595493814940828,0.008410727424793386,0.02230817743799999,0.001618526221874998,0.0031075145999999976,0.0035150765325259493,0.004606579529166664,0.005158258540874999,0.014314376116666663,0.0012078259285714266,0.0023315547410156217,0.0032079592421052623,0.004658311065789474,0.005626033019387754,0.01739010724453125,0.0011595889097107425,0.0021976819377550996,0.0036696124406249988,0.004874173297959181,0.0071248617473684194,0.019715323429687497,0.0022112152342105246,0.0032966206735537177,0.004468895978733458,0.0069490881947368395,0.00826097641578947,0.029734196062499996,0.002116354271900825,0.003738153958501783,0.005195259299999998,0.007312436768491733,0.007828182897448013,0.027854312317346936
